Genotype,Envir,Latitude,Longitude,D,Lat,Lon,D_spats_residuals,D_spats_geno_pred_values,D_spats_adj_pheno
GA6_3_B_GS,GS_2017_B,57.27,-4.92,28,57.27,-4.92,0.060846827572405,23.7556418823973,23.8164887099697
GA7_15_B_GS,GS_2017_B,57.27,-4.92,43,57.27,-4.92,7.5608468275722,31.2556418823974,38.8164887099696
GA9_29_B_GS,GS_2017_B,57.27,-4.92,21,57.27,-4.92,-3.43915317242754,20.2556418823972,16.8164887099697
GL1_22_B_GS,GS_2017_B,56.91,-5.13,28,56.91,-5.13,0.820474272845555,24.5152693276705,25.335743600516
GL2_15_B_GS,GS_2017_B,56.91,-5.13,21,56.91,-5.13,-2.67952572715438,21.0152693276704,18.335743600516
GL3_10_B_GS,GS_2017_B,56.91,-5.13,28,56.91,-5.13,0.820474272845555,24.5152693276705,25.335743600516
GT1_6_B_GS,GS_2017_B,57.05,-2.86,23,57.05,-2.86,-1.14036452840042,22.5544305264244,21.414065998024
GT2_2_B_GS,GS_2017_B,57.05,-2.86,28,57.05,-2.86,1.35963547159954,25.0544305264245,26.414065998024
GT3_2_B_GS,GS_2017_B,57.05,-2.86,23,57.05,-2.86,-1.14036452840042,22.5544305264244,21.414065998024
GT5_2_B_GS,GS_2017_B,57.05,-2.86,35,57.05,-2.86,4.85963547159949,28.5544305264245,33.414065998024
GT6_10_B_GS,GS_2017_B,57.05,-2.86,21,57.05,-2.86,-2.1403645284004,21.5544305264244,19.414065998024
GT7_22_B_GS,GS_2017_B,57.05,-2.86,21,57.05,-2.86,-2.1403645284004,21.5544305264244,19.414065998024
GT8_5_B_GS,GS_2017_B,57.05,-2.86,30,57.05,-2.86,2.35963547159953,26.0544305264245,28.414065998024
GT9_15_B_GS,GS_2017_B,57.05,-2.86,21,57.05,-2.86,-2.1403645284004,21.5544305264244,19.414065998024
RD10_22_B_GS,GS_2017_B,57.89,-4.98,30,57.89,-4.98,-0.430417456005284,23.2643775988195,22.8339601428143
RD3_26_B_GS,GS_2017_B,57.89,-4.98,32,57.89,-4.98,0.569582543994699,24.2643775988196,24.8339601428143
RD7_15_B_GS,GS_2017_B,57.89,-4.98,28,57.89,-4.98,-1.43041745600527,22.2643775988195,20.8339601428143
RD8_29_B_GS,GS_2017_B,57.89,-4.98,28,57.89,-4.98,-1.43041745600527,22.2643775988195,20.8339601428143
RD9_5_B_GS,GS_2017_B,57.89,-4.98,35,57.89,-4.98,2.06958254399472,25.7643775988196,27.8339601428143
BE10_22_B_GS,GS_2018_B,57.63,-5.35,14,57.63,-5.35,-2.62804717691928,15.732710404699,13.1046632277797
BE3_22_B_GS,GS_2018_B,57.63,-5.35,21,57.63,-5.35,0.871952823080726,19.232710404699,20.1046632277797
BE5_5_B_GS,GS_2018_B,57.63,-5.35,21,57.63,-5.35,0.871952823080726,19.232710404699,20.1046632277797
BE8_5_B_GS,GS_2018_B,57.63,-5.35,21,57.63,-5.35,0.871952823080726,19.232710404699,20.1046632277797
GA3_22_B_GS,GS_2018_B,57.27,-4.92,21,57.27,-4.92,1.62942464280129,19.9901822244195,21.6196068672208
GA5_9_B_GS,GS_2018_B,57.27,-4.92,14,57.27,-4.92,-1.87057535719873,16.4901822244195,14.6196068672208
GA6_3_B_GS,GS_2018_B,57.27,-4.92,14,57.27,-4.92,-1.87057535719873,16.4901822244195,14.6196068672208
GA7_15_B_GS,GS_2018_B,57.27,-4.92,21,57.27,-4.92,1.62942464280129,19.9901822244195,21.6196068672208
GA9_29_B_GS,GS_2018_B,57.27,-4.92,14,57.27,-4.92,-1.87057535719873,16.4901822244195,14.6196068672208
GL1_22_B_GS,GS_2018_B,56.91,-5.13,21,56.91,-5.13,0.451464712820005,18.8122222944382,19.2636870072582
GL2_15_B_GS,GS_2018_B,56.91,-5.13,21,56.91,-5.13,0.451464712820005,18.8122222944382,19.2636870072582
GL3_10_B_GS,GS_2018_B,56.91,-5.13,21,56.91,-5.13,0.451464712820005,18.8122222944382,19.2636870072582
GT1_6_B_GS,GS_2018_B,57.05,-2.86,14,57.05,-2.86,-2.16746333100916,16.1932942506091,14.0258309195999
GT2_2_B_GS,GS_2018_B,57.05,-2.86,28,57.05,-2.86,4.83253666899084,23.1932942506091,28.0258309196
GT3_2_B_GS,GS_2018_B,57.05,-2.86,14,57.05,-2.86,-2.16746333100916,16.1932942506091,14.0258309195999
GT5_2_B_GS,GS_2018_B,57.05,-2.86,21,57.05,-2.86,1.33253666899084,19.6932942506091,21.0258309195999
GT6_10_B_GS,GS_2018_B,57.05,-2.86,14,57.05,-2.86,-2.16746333100916,16.1932942506091,14.0258309195999
GT7_22_B_GS,GS_2018_B,57.05,-2.86,14,57.05,-2.86,-2.16746333100916,16.1932942506091,14.0258309195999
GT8_5_B_GS,GS_2018_B,57.05,-2.86,21,57.05,-2.86,1.33253666899084,19.6932942506091,21.0258309195999
GT9_15_B_GS,GS_2018_B,57.05,-2.86,21,57.05,-2.86,1.33253666899084,19.6932942506091,21.0258309195999
RD10_22_B_GS,GS_2018_B,57.89,-4.98,28,57.89,-4.98,3.67007560065733,22.0308331822756,25.7009087829329
RD3_26_B_GS,GS_2018_B,57.89,-4.98,14,57.89,-4.98,-3.32992439934268,15.0308331822756,11.7009087829329
RD7_15_B_GS,GS_2018_B,57.89,-4.98,21,57.89,-4.98,0.170075600657324,18.5308331822756,18.7009087829329
RD8_29_B_GS,GS_2018_B,57.89,-4.98,21,57.89,-4.98,0.170075600657324,18.5308331822756,18.7009087829329
RD9_5_B_GS,GS_2018_B,57.89,-4.98,21,57.89,-4.98,0.170075600657324,18.5308331822756,18.7009087829329
BE10_22_B_GS,GS_2019_B,57.63,-5.35,28,57.63,-5.35,1.75021290413433,21.3897777267279,23.1399906308622
BE3_22_B_GS,GS_2019_B,57.63,-5.35,21,57.63,-5.35,-1.74978709586564,17.8897777267279,16.1399906308622
BE5_5_B_GS,GS_2019_B,57.63,-5.35,28,57.63,-5.35,1.75021290413433,21.3897777267279,23.1399906308622
BE8_5_B_GS,GS_2019_B,57.63,-5.35,21,57.63,-5.35,-1.74978709586564,17.8897777267279,16.1399906308622
GA3_22_B_GS,GS_2019_B,57.27,-4.92,28,57.27,-4.92,3.53287877331185,23.1724435959055,26.7053223692173
GA5_9_B_GS,GS_2019_B,57.27,-4.92,28,57.27,-4.92,3.53287877331185,23.1724435959055,26.7053223692173
GA6_3_B_GS,GS_2019_B,57.27,-4.92,21,57.27,-4.92,0.0328787733118894,19.6724435959054,19.7053223692173
GA7_15_B_GS,GS_2019_B,57.27,-4.92,14,57.27,-4.92,-3.46712122668808,16.1724435959054,12.7053223692173
GA9_29_B_GS,GS_2019_B,57.27,-4.92,14,57.27,-4.92,-3.46712122668808,16.1724435959054,12.7053223692173
GL1_22_B_GS,GS_2019_B,56.91,-5.13,21,56.91,-5.13,1.13512314080201,20.7746879633955,21.9098111041975
GL2_15_B_GS,GS_2019_B,56.91,-5.13,28,56.91,-5.13,4.63512314080197,24.2746879633956,28.9098111041975
GL3_10_B_GS,GS_2019_B,56.91,-5.13,7,56.91,-5.13,-5.86487685919792,13.7746879633955,7.90981110419753
GT1_6_B_GS,GS_2019_B,57.05,-2.86,28,57.05,-2.86,1.7486000518571,21.3881648744507,23.1367649263078
GT2_2_B_GS,GS_2019_B,57.05,-2.86,28,57.05,-2.86,1.7486000518571,21.3881648744507,23.1367649263078
GT3_2_B_GS,GS_2019_B,57.05,-2.86,28,57.05,-2.86,1.7486000518571,21.3881648744507,23.1367649263078
GT5_2_B_GS,GS_2019_B,57.05,-2.86,21,57.05,-2.86,-1.75139994814286,17.8881648744506,16.1367649263078
GT6_10_B_GS,GS_2019_B,57.05,-2.86,28,57.05,-2.86,1.7486000518571,21.3881648744507,23.1367649263078
GT7_22_B_GS,GS_2019_B,57.05,-2.86,21,57.05,-2.86,-1.75139994814286,17.8881648744506,16.1367649263078
GT8_5_B_GS,GS_2019_B,57.05,-2.86,28,57.05,-2.86,1.7486000518571,21.3881648744507,23.1367649263078
GT9_15_B_GS,GS_2019_B,57.05,-2.86,14,57.05,-2.86,-5.25139994814283,14.3881648744506,9.13676492630775
RD10_22_B_GS,GS_2019_B,57.89,-4.98,21,57.89,-4.98,-1.41188306407129,18.2276817585222,16.8157986944509
RD3_26_B_GS,GS_2019_B,57.89,-4.98,28,57.89,-4.98,2.08811693592867,21.7276817585222,23.8157986944509
RD7_15_B_GS,GS_2019_B,57.89,-4.98,21,57.89,-4.98,-1.41188306407129,18.2276817585222,16.8157986944509
RD8_29_B_GS,GS_2019_B,57.89,-4.98,21,57.89,-4.98,-1.41188306407129,18.2276817585222,16.8157986944509
RD9_5_B_GS,GS_2019_B,57.89,-4.98,28,57.89,-4.98,2.08811693592867,21.7276817585222,23.8157986944509
BE2_1_C_YA,YA_2015_C,57.63,-5.35,17,57.63,-5.35,-1.21058469257073,14.5215386198579,13.3109539272872
BE3_20_C_YA,YA_2015_C,57.63,-5.35,21,57.63,-5.35,0.789415307429266,16.5215386198579,17.3109539272872
BE4_23_C_YA,YA_2015_C,57.63,-5.35,21,57.63,-5.35,0.789415307429266,16.5215386198579,17.3109539272872
BE5_19_C_YA,YA_2015_C,57.63,-5.35,14,57.63,-5.35,-2.71058469257073,13.0215386198579,10.3109539272872
BE7_6_C_YA,YA_2015_C,57.63,-5.35,21,57.63,-5.35,0.789415307429266,16.5215386198579,17.3109539272872
BE8_19_C_YA,YA_2015_C,57.63,-5.35,21,57.63,-5.35,0.789415307429266,16.5215386198579,17.3109539272872
BE9_21_C_YA,YA_2015_C,57.63,-5.35,21,57.63,-5.35,0.789415307429266,16.5215386198579,17.3109539272872
GA10_27_C_YA,YA_2015_C,57.27,-4.92,27,57.27,-4.92,4.08350833334666,19.8156316457753,23.899139979122
GA3_27_C_YA,YA_2015_C,57.27,-4.92,20,57.27,-4.92,0.583508333346671,16.3156316457753,16.899139979122
GA5_23_C_YA,YA_2015_C,57.27,-4.92,17,57.27,-4.92,-0.916491666653329,14.8156316457753,13.899139979122
GA6_27_C_YA,YA_2015_C,57.27,-4.92,17,57.27,-4.92,-0.916491666653329,14.8156316457753,13.899139979122
GA7_23_C_YA,YA_2015_C,57.27,-4.92,21,57.27,-4.92,1.08350833334667,16.8156316457753,17.899139979122
GA9_12_C_YA,YA_2015_C,57.27,-4.92,21,57.27,-4.92,1.08350833334667,16.8156316457753,17.899139979122
GL2_1_C_YA,YA_2015_C,56.91,-5.13,31,56.91,-5.13,5.32424585540803,21.0563691678367,26.3806150232447
GL3_12_C_YA,YA_2015_C,56.91,-5.13,17,56.91,-5.13,-1.67575414459196,14.0563691678367,12.3806150232447
GL4_5_C_YA,YA_2015_C,56.91,-5.13,7,56.91,-5.13,-6.67575414459197,9.05636916783664,2.38061502324467
GL7_10_C_YA,YA_2015_C,56.91,-5.13,14,56.91,-5.13,-3.17575414459196,12.5563691678367,9.38061502324469
GL8_19_C_YA,YA_2015_C,56.91,-5.13,27,56.91,-5.13,3.32424585540803,19.0563691678367,22.3806150232447
GT2_18_C_YA,YA_2015_C,57.05,-2.86,21,57.05,-2.86,3.41482394313567,19.1469472555643,22.5617711987
GT6_30_C_YA,YA_2015_C,57.05,-2.86,7,57.05,-2.86,-3.58517605686432,12.1469472555643,8.56177119869998
GT7_12_C_YA,YA_2015_C,57.05,-2.86,7,57.05,-2.86,-3.58517605686432,12.1469472555643,8.56177119869998
GT8_19_C_YA,YA_2015_C,57.05,-2.86,21,57.05,-2.86,3.41482394313567,19.1469472555643,22.5617711987
RD1_23_C_YA,YA_2015_C,57.89,-4.98,7,57.89,-4.98,-5.13458036694378,10.5975429454848,5.46296257854107
RD2_22_C_YA,YA_2015_C,57.89,-4.98,21,57.89,-4.98,1.8654196330562,17.5975429454849,19.4629625785411
RD3_4_C_YA,YA_2015_C,57.89,-4.98,17,57.89,-4.98,-0.134580366943805,15.5975429454849,15.4629625785411
