Genotype,Envir,Latitude,Longitude,T6,Lat,Lon,T6_spats_residuals,T6_spats_geno_pred_values,T6_spats_adj_pheno
GA10_22_D_GS,GS_2019_D,57.27,-4.92,14,57.27,-4.92,-0.928939551917589,13.2253276364854,12.2963880845678
GA3_29_D_GS,GS_2019_D,57.27,-4.92,14,57.27,-4.92,-0.928939551917589,13.2253276364854,12.2963880845678
GA5_6_D_GS,GS_2019_D,57.27,-4.92,21,57.27,-4.92,2.5710604480824,16.7253276364854,19.2963880845678
GA6_5_D_GS,GS_2019_D,57.27,-4.92,7,57.27,-4.92,-4.42893955191757,9.7253276364854,5.29638808456783
GA7_26_D_GS,GS_2019_D,57.27,-4.92,21,57.27,-4.92,2.5710604480824,16.7253276364854,19.2963880845678
GA8_29_D_GS,GS_2019_D,57.27,-4.92,21,57.27,-4.92,2.5710604480824,16.7253276364854,19.2963880845678
GL3_26_D_GS,GS_2019_D,56.91,-5.13,0,56.91,-5.13,-6.76020994361985,7.39405724478308,0.633847301163232
GL4_3_D_GS,GS_2019_D,56.91,-5.13,21,56.91,-5.13,3.73979005638009,17.8940572447831,21.6338473011632
GL6_15_D_GS,GS_2019_D,56.91,-5.13,14,56.91,-5.13,0.239790056380132,14.3940572447831,14.6338473011632
GL7_15_D_GS,GS_2019_D,56.91,-5.13,14,56.91,-5.13,0.239790056380132,14.3940572447831,14.6338473011632
GL8_15_D_GS,GS_2019_D,56.91,-5.13,14,56.91,-5.13,0.239790056380132,14.3940572447831,14.6338473011632
GT2_26_D_GS,GS_2019_D,57.05,-2.86,7,57.05,-2.86,-3.59077686762765,10.5634903207754,6.9727134531477
GT6_29_D_GS,GS_2019_D,57.05,-2.86,21,57.05,-2.86,3.40922313237233,17.5634903207754,20.9727134531477
GT8_22_D_GS,GS_2019_D,57.05,-2.86,14,57.05,-2.86,-0.0907768676276639,14.0634903207754,13.9727134531477
RD10_10_D_GS,GS_2019_D,57.89,-4.98,14,57.89,-4.98,-0.824125139446647,13.3301420489564,12.5060169095097
RD2_9_D_GS,GS_2019_D,57.89,-4.98,14,57.89,-4.98,-0.824125139446647,13.3301420489564,12.5060169095097
RD3_2_D_GS,GS_2019_D,57.89,-4.98,14,57.89,-4.98,-0.824125139446647,13.3301420489564,12.5060169095097
